Link,cout,propriete
Volvic#93,510.0,costByTruck
Volvic#94,524.6200000000001,costByTruck
Volvic#95,537.72,costByTruck
Volvic#Aigle,,costByTruck
Volvic#Amberieu,375.61,costByTruck
Volvic#Anvers,644.3600000000001,costByTruck
Volvic#Bretigny,,costByTruck
Nan#Nan,,costByTruck
Volvic#Duisburg,786.3999999999997,costByTruck
Volvic#Fos,699.2,costByTruck
Volvic#Grisolles,679.5,costByTruck
Volvic#LduAllemagne,786.3999999999997,costByTruck
Volvic#Macon,362.6,costByTruck
Volvic#Monteux,637.1999999999998,costByTruck
Volvic#Ostende,647.6,costByTruck
Volvic#Rennes,754.7,costByTruck
Volvic#Rugby,1710.64,costByTruck
Volvic#Santes,672.0230000000001,costByTruck
Volvic#StQuentinChesnes,420.0,costByTruck
Volvic#SuryLeComtal,,costByTruck
Volvic#Thionville,560.0,costByTruck
Volvic#Vinay,350.0,costByTruck
Volvic#Worms,667.71,costByTruck
Volvic#Zeebrugge,657.6999999999998,costByTruck
Evian#Hub,2500.0,costByTrain
Hub#Amberieu,455.0,costByTrain
Hub#Bretigny,12445.0,costByTrain
Hub#Fos,9495.0,costByTrain
Hub#Macon,6754.0,costByTrain
Hub#Santes,23612.0,costByTrain
Hub#Anvers,23778.0,costByTrain
Hub#Rugby,45797.53086419753,costByTrain
Hub#Zeebrugge,29092.0,costByTrain
Hub#Duisburg,28900.0,costByTrain
Hub#Worms,24000.0,costByTrain
Volvic#Fos,30790.0,costByTrain
Volvic#Duisburg,25000.0,costByTrain
Volvic#Worms,20980.0,costByTrain
Volvic#Amberieu,5000.0,costByTrain
Volvic#Rugby,45797.53086419753,costByTrain
Volvic#Zeebrugge,29841.0,costByTrain
