Link,cout,propriete
Bretigny#31,880.0,costByTruck
Bretigny#33,750.0000000000001,costByTruck
Bretigny#34,815.0000000000001,costByTruck
Bretigny#35,468.25999999999993,costByTruck
Bretigny#36,,costByTruck
Bretigny#37,400.0,costByTruck
Bretigny#38,583.0,costByTruck
Bretigny#39,462.0,costByTruck
Bretigny#40,827.5,costByTruck
Bretigny#42,539.0,costByTruck
Bretigny#44,525.5740000000002,costByTruck
Bretigny#45,251.4,costByTruck
Bretigny#49,420.6,costByTruck
Bretigny#51,290.99999999999994,costByTruck
Bretigny#54,340.0,costByTruck
Bretigny#55,350.0,costByTruck
Bretigny#56,577.0,costByTruck
Bretigny#57,349.99999999999994,costByTruck
Bretigny#59,254.90000000000006,costByTruck
Bretigny#60,,costByTruck
Bretigny#62,256.5,costByTruck
Bretigny#63,460.0,costByTruck
Bretigny#67,489.0,costByTruck
Bretigny#68,505.0,costByTruck
Bretigny#69,572.5,costByTruck
Bretigny#72,358.444,costByTruck
Bretigny#74,636.0,costByTruck
Bretigny#75,200.0,costByTruck
Bretigny#76,358.4,costByTruck
Bretigny#77,195.21,costByTruck
Bretigny#78,228.0,costByTruck
Bretigny#79,578.8460000000001,costByTruck
Bretigny#80,248.00000000000003,costByTruck
Bretigny#82,860.0,costByTruck
Bretigny#83,1100.0,costByTruck
Bretigny#85,529.0,costByTruck
Bretigny#86,460.0,costByTruck
Bretigny#89,332.16,costByTruck
Bretigny#91,187.60000000000005,costByTruck
Bretigny#92,220.0,costByTruck
Bretigny#93,220.0,costByTruck
Bretigny#94,200.13,costByTruck
Bretigny#95,245.0,costByTruck
Bretigny#Amberieu,551.75,costByTruck
Bretigny#Anvers,329.0,costByTruck
Bretigny#Badoit,525.0,costByTruck
Nan#Nan,,costByTruck
Bretigny#Evian,764.0,costByTruck
Bretigny#Ostende,332.3648,costByTruck
Bretigny#Rugby,1297.0,costByTruck
Bretigny#Santes,255.0,costByTruck
Bretigny#StQuentinChesnes,,costByTruck
Bretigny#Thionville,410.0,costByTruck
Bretigny#Vinay,,costByTruck
Bretigny#Zeebrugge,325.6818,costByTruck
Corbas#1,207.50000000000003,costByTruck
Corbas#3,,costByTruck
Corbas#10,490.0,costByTruck
Corbas#13,537.5,costByTruck
Corbas#14,,costByTruck
Corbas#16,666.0,costByTruck
Corbas#18,518.0,costByTruck
Corbas#19,593.29,costByTruck
Corbas#21,327.0,costByTruck
Corbas#22,830.0,costByTruck
Corbas#25,,costByTruck
Corbas#27,,costByTruck
Corbas#30,525.0,costByTruck
Corbas#31,,costByTruck
Corbas#33,755.0,costByTruck
Corbas#34,529.5,costByTruck
